ABC_Publication,Edition,State,District,Year,Half,Language,Frequency,Avg Circulation,Gram State,Gram District
Aaj Samaj,New Delhi edition,UP,Ghaziabad,2015,H1,Hindi,Dailies,827.0,UTTAR PRADESH,GHAZIABAD
Aajchi Navi  Mumbai,Navi Mumbai Panvel Rigardh edition,MH,Raigad,2013,H1,Marathi,Weeklies,4076.0,MAHARASHTRA,RAIGAD
Aajchi Navi  Mumbai,Navi Mumbai Panvel Rigardh edition,MH,Raigad,2014,H1,Marathi,Weeklies,4538.0,MAHARASHTRA,RAIGAD
Aajchi Navi  Mumbai,Navi Mumbai Panvel Rigardh edition,MH,Raigad,2014,H2,Marathi,Weeklies,2927.0,MAHARASHTRA,RAIGAD
Aajkaal,Kolkata edition,AS,Other Districts,2013,H1,Bengali,Dailies,1007.0,ASSAM,KAMRUP
Aajkaal,Kolkata edition,AS,Other Districts,2013,H2,Bengali,Dailies,960.0,ASSAM,KAMRUP
Aajkaal,Kolkata edition,AS,Other Districts,2014,H1,Bengali,Dailies,1023.0,ASSAM,KAMRUP
Aajkaal,Kolkata edition,AS,Other Districts,2014,H2,Bengali,Dailies,959.0,ASSAM,KAMRUP
Aajkaal,Kolkata edition,AS,Other Districts,2015,H1,Bengali,Dailies,900.0,ASSAM,KAMRUP
Aajkaal,Kolkata edition,JH,Other Districts,2013,H1,Bengali,Dailies,3259.0,JHARKHAND,RANCHI
Aajkaal,Kolkata edition,JH,Other Districts,2013,H2,Bengali,Dailies,3742.0,JHARKHAND,RANCHI
Aajkaal,Kolkata edition,JH,Other Districts,2014,H1,Bengali,Dailies,3250.0,JHARKHAND,RANCHI
Aajkaal,Kolkata edition,JH,Other Districts,2014,H2,Bengali,Dailies,3726.0,JHARKHAND,RANCHI
Aajkaal,Kolkata edition,JH,Other Districts,2015,H1,Bengali,Dailies,3624.0,JHARKHAND,RANCHI
Aajkaal,Kolkata edition,MH,Osmanabad,2013,H1,Bengali,Dailies,265.0,MAHARASHTRA,OSMANABAD
Aajkaal,Kolkata edition,OR,Other Districts,2013,H1,Bengali,Dailies,460.0,ORISSA,CUTTACK
Aajkaal,Kolkata edition,OR,Other Districts,2013,H2,Bengali,Dailies,415.0,ORISSA,CUTTACK
Aajkaal,Kolkata edition,OR,Other Districts,2014,H1,Bengali,Dailies,460.0,ORISSA,CUTTACK
Aajkaal,Kolkata edition,OR,Other Districts,2014,H2,Bengali,Dailies,498.0,ORISSA,CUTTACK
Aajkaal,Kolkata edition,OR,Other Districts,2015,H1,Bengali,Dailies,528.0,ORISSA,CUTTACK
Aajkaal,Kolkata edition,TR,West Tripura,2013,H1,Bengali,Dailies,8854.0,TRIPURA,WEST TRIPURA
Aajkaal,Kolkata edition,TR,West Tripura,2013,H2,Bengali,Dailies,8526.0,TRIPURA,WEST TRIPURA
Aajkaal,Kolkata edition,TR,West Tripura,2014,H1,Bengali,Dailies,8564.0,TRIPURA,WEST TRIPURA
Aajkaal,Kolkata edition,TR,West Tripura,2014,H2,Bengali,Dailies,8167.0,TRIPURA,WEST TRIPURA
Aajkaal,Kolkata edition,TR,West Tripura,2015,H1,Bengali,Dailies,7680.0,TRIPURA,WEST TRIPURA
Aajkaal,Kolkata edition,WB,Bankura,2013,H1,Bengali,Dailies,4172.0,WEST BENGAL,BANKURA
Aajkaal,Kolkata edition,WB,Bankura,2013,H2,Bengali,Dailies,5482.0,WEST BENGAL,BANKURA
Aajkaal,Kolkata edition,WB,Bankura,2014,H1,Bengali,Dailies,5443.0,WEST BENGAL,BANKURA
Aajkaal,Kolkata edition,WB,Bankura,2014,H2,Bengali,Dailies,5460.0,WEST BENGAL,BANKURA
Aajkaal,Kolkata edition,WB,Bankura,2015,H1,Bengali,Dailies,5589.0,WEST BENGAL,BANKURA
Aajkaal,Kolkata edition,WB,Barddhaman,2013,H1,Bengali,Dailies,15620.0,WEST BENGAL,BARDDHAMAN
Aajkaal,Kolkata edition,WB,Barddhaman,2013,H2,Bengali,Dailies,17930.0,WEST BENGAL,BARDDHAMAN
Aajkaal,Kolkata edition,WB,Barddhaman,2014,H1,Bengali,Dailies,17401.0,WEST BENGAL,BARDDHAMAN
Aajkaal,Kolkata edition,WB,Barddhaman,2014,H2,Bengali,Dailies,18624.0,WEST BENGAL,BARDDHAMAN
Aajkaal,Kolkata edition,WB,Barddhaman,2015,H1,Bengali,Dailies,17940.0,WEST BENGAL,BARDDHAMAN
Aajkaal,Kolkata edition,WB,Birbhum,2013,H1,Bengali,Dailies,1179.0,WEST BENGAL,BIRBHUM
Aajkaal,Kolkata edition,WB,Birbhum,2013,H2,Bengali,Dailies,1094.0,WEST BENGAL,BIRBHUM
Aajkaal,Kolkata edition,WB,Birbhum,2014,H1,Bengali,Dailies,1068.0,WEST BENGAL,BIRBHUM
Aajkaal,Kolkata edition,WB,Birbhum,2014,H2,Bengali,Dailies,1029.0,WEST BENGAL,BIRBHUM
Aajkaal,Kolkata edition,WB,Birbhum,2015,H1,Bengali,Dailies,2024.0,WEST BENGAL,BIRBHUM
Aajkaal,Kolkata edition,WB,Darjiling,2013,H1,Bengali,Dailies,7469.0,WEST BENGAL,DARJILING
Aajkaal,Kolkata edition,WB,Darjiling,2013,H2,Bengali,Dailies,6810.0,WEST BENGAL,DARJILING
Aajkaal,Kolkata edition,WB,Darjiling,2014,H1,Bengali,Dailies,6441.0,WEST BENGAL,DARJILING
Aajkaal,Kolkata edition,WB,Darjiling,2014,H2,Bengali,Dailies,6033.0,WEST BENGAL,DARJILING
Aajkaal,Kolkata edition,WB,Darjiling,2015,H1,Bengali,Dailies,5900.0,WEST BENGAL,DARJILING
Aajkaal,Kolkata edition,WB,Haora,2013,H1,Bengali,Dailies,1286.0,WEST BENGAL,HAORA
Aajkaal,Kolkata edition,WB,Haora,2014,H1,Bengali,Dailies,1713.0,WEST BENGAL,HAORA
Aajkaal,Kolkata edition,WB,Haora,2014,H2,Bengali,Dailies,1578.0,WEST BENGAL,HAORA
Aajkaal,Kolkata edition,WB,Haora,2015,H1,Bengali,Dailies,836.0,WEST BENGAL,HAORA
Aajkaal,Kolkata edition,WB,Hugli,2013,H1,Bengali,Dailies,4680.0,WEST BENGAL,HUGLI
Aajkaal,Kolkata edition,WB,Hugli,2013,H2,Bengali,Dailies,4030.0,WEST BENGAL,HUGLI
Aajkaal,Kolkata edition,WB,Hugli,2014,H1,Bengali,Dailies,3962.0,WEST BENGAL,HUGLI
Aajkaal,Kolkata edition,WB,Hugli,2014,H2,Bengali,Dailies,3745.0,WEST BENGAL,HUGLI
Aajkaal,Kolkata edition,WB,Hugli,2015,H1,Bengali,Dailies,3635.0,WEST BENGAL,HUGLI
Aajkaal,Kolkata edition,WB,Kolkata,2013,H1,Bengali,Dailies,62059.0,WEST BENGAL,KOLKATA
Aajkaal,Kolkata edition,WB,Kolkata,2013,H2,Bengali,Dailies,65942.0,WEST BENGAL,KOLKATA
Aajkaal,Kolkata edition,WB,Kolkata,2014,H1,Bengali,Dailies,64054.0,WEST BENGAL,KOLKATA
Aajkaal,Kolkata edition,WB,Kolkata,2014,H2,Bengali,Dailies,67312.0,WEST BENGAL,KOLKATA
Aajkaal,Kolkata edition,WB,Kolkata,2015,H1,Bengali,Dailies,67712.0,WEST BENGAL,KOLKATA
Aajkaal,Kolkata edition,WB,Medinipur,2013,H1,Bengali,Dailies,16259.0,WEST BENGAL,MEDINIPUR
Aajkaal,Kolkata edition,WB,Medinipur,2013,H2,Bengali,Dailies,20479.0,WEST BENGAL,MEDINIPUR
Aajkaal,Kolkata edition,WB,Medinipur,2014,H1,Bengali,Dailies,18441.0,WEST BENGAL,MEDINIPUR
Aajkaal,Kolkata edition,WB,Medinipur,2014,H2,Bengali,Dailies,19267.0,WEST BENGAL,MEDINIPUR
Aajkaal,Kolkata edition,WB,Medinipur,2015,H1,Bengali,Dailies,21046.0,WEST BENGAL,MEDINIPUR
Aajkaal,Kolkata edition,WB,Murshidabad,2013,H1,Bengali,Dailies,10140.0,WEST BENGAL,MURSHIDABAD
Aajkaal,Kolkata edition,WB,Murshidabad,2013,H2,Bengali,Dailies,12317.0,WEST BENGAL,MURSHIDABAD
Aajkaal,Kolkata edition,WB,Murshidabad,2014,H1,Bengali,Dailies,12350.0,WEST BENGAL,MURSHIDABAD
Aajkaal,Kolkata edition,WB,Murshidabad,2014,H2,Bengali,Dailies,12665.0,WEST BENGAL,MURSHIDABAD
Aajkaal,Kolkata edition,WB,Murshidabad,2015,H1,Bengali,Dailies,12916.0,WEST BENGAL,MURSHIDABAD
Aajkaal,Kolkata edition,WB,Nadia,2013,H1,Bengali,Dailies,7946.0,WEST BENGAL,NADIA
